Title,producers,winner,year,BoxOffice,Country,Director,Genre,Plot,Production,Rated,Ratings,Runtime,Year,imdbRating,imdbVotes,BAFTA,NBRA,GOLDENGLOBE,SATELLITE,DGA,tag
Wings,['Paramount Famous Lasky'],True,1927,N/A,USA,"William A. Wellman, Harry d'Abbadie d'Arrast","Drama, Romance, War, Action","Two young men from the same town but different social classes end up as fighter pilots in WW1. Jack Preston is a keen auto mechanic, building and modifying cars. David Armstrong comes from a wealthy family. They are both in love with the same woman, Sylvia. Her heart belongs to David but she doesn't let Jack know and plays along with his infatuation. Meanwhile, Jack's neighbour, Mary, is deeply in love with him but he just views her as a friend. WW1 interrupts the romantic entanglements as Jack and David enlist in the US Army Air Service (Air Service of the AEF at the time). They are initially bitter enemies, due to them both vying for Sylvia's affections. Over time, however, they become very good friends. They are both posted to the same fighter squadron in France, where being a fighter pilot means every day could easily be your last.",Unknown,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",144 min,1927,7.7,"9,884",False,False,False,False,False,none
The Racket,['The Caddo Company'],False,1927,N/A,USA,"John Cromwell, Mel Ferrer, Tay Garnett, Nicholas Ray, Sherman Todd","Crime, Drama, Film-Noir","The big national crime syndicate has moved into town, partnering up with local crime boss Nick Scanlon. There are only two problems: First, Nick is the violent type, preferring to do things the old-fashioned way instead of using the syndicate's more genteel methods. The second problem is McQuigg, the only honest police captain on the force, and his loyal patrolman, Johnson. Together, they take on the violent Nick and try to foil the syndicate's plans to elect Welch, the crooked prosecutor running for a crooked judgeship.",RKO Pictures,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",88 min,1951,6.8,"2,056",False,False,False,False,False,none
7th Heaven,['Fox'],False,1927,,USA,N/A,"Drama, Family, Romance","This weekly television series follows the Camden family as the minister father and stay-at-home mother deal with the drama of having seven children, ranging from toddlers to adults with families of their own. The friends, neighbors, and love interests of the various members of the family weigh heavily on the plot of the series, which seeks to address a real-life issue with each episode.",,TV-PG,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",60 min,1996–2007,5.2,"22,707",False,False,False,False,False,none
The Broadway Melody,['Metro-Goldwyn-Mayer'],True,1928,N/A,USA,Harry Beaumont,"Drama, Musical, Romance","Harriet and Queenie Mahoney, a vaudeville act, come to Broadway, where their friend Eddie Kerns needs them for his number in one of Francis Zanfield's shows. Eddie was in love with Harriet, but when he meets Queenie, he falls in love to her, but she is courted by Jock Warriner, a member of the New Yorker high society. It takes a while till Queenie recognizes, that she is for Jock nothing more than a toy, and it also takes a while till Harriet recognizes, that Eddie is in love with Queenie.",MGM Home Entertainment,Passed,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}]",100 min,1929,6.2,"5,601",False,False,False,False,False,none
Alibi,['Feature Productions'],False,1928,N/A,Netherlands,Johan Nijenhuis,Comedy,"For years, well-integrated ethnic Moroccon Amsterdam screw-up Youssef lied his way trough life, including his ma's matching efforts. Slick wheeler-dealer Rick recruits the born liar for his firm, an 'alibi office' which helps people get away with cheating on their partners. Youssef soon becomes disguise genius Sander's best mate. Things get tricky when both Rick and Youssef fall in love with airhead waitress Andrea and Rick orders Youssef to arrange his alibi for cheating on his wife, unsuspecting lawyer Tanya.",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",86 min,2008,5.7,796,False,False,False,False,False,none
Hollywood Revue,['Metro-Goldwyn-Mayer'],False,1928,N/A,USA,"Charles Reisner, Christy Cabanne",Musical,"Conrad Nagel, representing the Hollywood movie community, and Jack Benny, representing the Broadway stage community, act as the interlocutors of a musical comedy revue. A plethora of chorus boys and girls are featured front and center in some of the song and dance numbers, and provide back-up to some other acts. But the revue primarily is a vehicle to highlight a cavalcade of Hollywood movie and Broadway stage stars. One early running gag has both Nagel and Benny playing straight man to Cliff Edwards, who just wants a nice introduction to his act. Edwards would return later to be featured along with the Brox Sisters in one of the highlights of the second act, a production number around the song ""Singin' in Rain"", complete with rain soaked stage. A reprise of the song with the entire cast acts as the revue's finale.",Metro-Goldwyn-Mayer Pictures,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",130 min,1929,7.4,"1,586",False,False,False,False,False,none
In Old Arizona,['Fox'],False,1928,N/A,USA,Irving Cummings,"Romance, Western","Army Sergeant Mickey Dunn sets out in pursuit of the Cisco Kid, a notorious if kind-hearted and charismatic bandit of the Old West. The Kid spends much of his loot on Tonia, the woman he loves, not realizing that she is being unfaithful to him in his absence. Soon, with her oblivious paramour off plying his trade, Tonia falls in with Dunn, drawn by the allure of a substantial reward for the Kid's capture -- dead or alive. Together, they concoct a plan to ambush and do away with the Cisco Kid once and for all.",20th Century Fox Film Corporation,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",95 min,1928,5.7,668,False,False,False,False,False,none
The Patriot,['Paramount Famous Lasky'],False,1928,"$2,317,507","USA, Germany",Roland Emmerich,"Action, Drama, History, War","It is 1776 in colonial South Carolina. Benjamin Martin, a French-Indian war hero who is haunted by his past, now wants nothing more than to live peacefully on his small plantation, and wants no part of a war with the most powerful nation in the world, Great Britain. Meanwhile, his two eldest sons, Gabriel and Thomas, can't wait to enlist in the newly formed ""Continental Army."" When South Carolina decides to join the rebellion against England, Gabriel immediately signs up to fight...without his father's permission. But when Colonel William Tavington, British dragoon, infamous for his brutal tactics, comes and burns the Martin Plantation to the ground, tragedy strikes. Benjamin quickly finds himself torn between protecting his family, and seeking revenge along with being a part of the birth of a new, young, and ambitious nation.",Columbia Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",165 min,2000,7.2,"234,528",False,False,False,False,False,none
All Quiet on the Western Front,['Universal'],True,1929,N/A,USA,Lewis Milestone,"Drama, War","This is an English language film (made in America) adapted from a novel by German author Erich Maria Remarque. The film follows a group of German schoolboys, talked into enlisting at the beginning of World War 1 by their jingoistic teacher. The story is told entirely through the experiences of the young German recruits and highlights the tragedy of war through the eyes of individuals. As the boys witness death and mutilation all around them, any preconceptions about ""the enemy"" and the ""rights and wrongs"" of the conflict disappear, leaving them angry and bewildered. This is highlighted in the scene where Paul mortally wounds a French soldier and then weeps bitterly as he fights to save his life while trapped in a shell crater with the body. The film is not about heroism but about drudgery and futility and the gulf between the concept of war and the actuality.",Universal Pictures,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",136 min,1930,8.1,"52,868",False,False,False,False,False,none
The Big House,['Cosmopolitan'],False,1929,N/A,USA,"George W. Hill, Ward Wing","Crime, Drama, Thriller","After a manslaughter conviction from drunk driving, nice but foolish Kent is sent to a prison over-crowded and unable to properly deal with it's inmates. There he meets veteran criminals like Morgan and his hardened pal Butch. And the system punishes them all, turning them against each other and bringing out the worst.",Warner Bros.,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",87 min,1930,7.2,"1,589",False,False,False,False,False,none
Disraeli,['Warner Bros.'],False,1929,N/A,USA,Alfred E. Green,"Biography, Drama, History","Biopic of the famed British Prime Minister focusing on his concern about Russia's growing interest in the Indian subcontinent and his attempts to buy the Suez Canal. He sees the Canal as the key strategic resource in maintaining the Empire in the East but is unpopular in many quarters. With antisemitism rife at the time, Disraeli finds little support for his plan to purchase the canal or his foreign policy in general. There is no doubt that the Russians are plotting against British interests and he is surrounded by spies, even in his office at 10 Downing St. When the Bank of England refuses to finance the purchase of the available shares he turns to private sources to raise the available cash only to find the conspirators one step ahead of him.",A & E,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",90 min,1929,6.4,809,False,False,False,False,False,none
The Divorcee,['Metro-Goldwyn-Mayer'],False,1929,N/A,USA,Robert Z. Leonard,"Romance, Drama","Jerry and Ted are young, in love, and part of the New York 'in-crowd'. Jerry's decision to marry Ted crushes a yearning Paul. Distraught Paul gets drunk and wrecks his car, disfiguring young Dorothy's face in the process. Out of pity, Paul marries Dorothy. Years later, the apparent perfect marriage of Ted and Jerry falls apart from infidelity on both sides. Inwardly unhappy, popular Jerry lives a party life while Ted sinks into a life of alcoholism. Jerry then runs into Paul, who still loves her. After spending time together with Jerry, Paul plans to divorce Dorothy. When Jerry sees Dorothy again, she has second thoughts about where her life is heading.",MGM,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",84 min,1930,6.9,"2,174",False,False,False,False,False,none
The Love Parade,['Paramount Famous Lasky'],False,1929,N/A,USA,Ernst Lubitsch,"Comedy, Musical, Romance","Queen Louise's cabinet are worried that she will become an old maid, and are delighted when she marries the rougish Count Renard. Unfortunately, he finds his position as Queen's Consort unsatisfying and without purpose, and the marriage soon runs into difficulties.",Paramount Pictures,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",107 min,1929,7.2,"1,731",False,False,False,False,False,none
Cimarron,['RKO Radio'],True,1930,N/A,USA,Wesley Ruggles,"Drama, Western","When the government opens up the Oklahoma territory for settlement, restless Yancey Cravat claims a plot of the free land for himself and moves his family there from Wichita. A newspaperman, lawyer, and just about everything else, Cravat soon becomes a leading citizen of the boom town of Osage. Once the town is established, however, he begins to feel confined once again, and heads for the Cherokee Strip, leaving his family behind. During this and other absences, his wife Sabra must learn to take care of herself and soon becomes prominent in her own right.",MGM Home Entertainment,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}]",123 min,1931,6.0,"4,602",False,False,False,False,False,none
East Lynne,['Fox'],False,1930,N/A,USA,Frank Lloyd,Drama,"The refined Lady Isabel Carlisle, after leaving her family and enduring nearly a decade of hardships, learns that her son has fallen ill. Despite being nearly blinded as the result of an explosion, she returns home to see her son again.",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",102 min,1931,6.9,89,False,False,False,False,False,none
The Front Page,['The Caddo Company'],False,1930,N/A,USA,Billy Wilder,"Comedy, Drama, Romance","When Hildy Johnson, the top reporter of a Chicago newspaper announces that he is quitting to get married, his editor, Walter Burns desperately tries to change his mind. When denial, cursing, and luring don't work, Walter resorts to tricks. It's the day before a supposed communist is to be hanged, and all Chicago waits with baited breath. Meanwhile, each of the papers has a man on the story trying to get a scoop or angle for themselves. With a train to catch at midnight to join his fiancé, Hildy is at first not interested, but events and his own habits work against him as the day unfolds, and he can't help but get roped in, especially when the man to be executed escapes and then almost literally falls into his lap.",Universal Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}]",105 min,1974,7.3,"10,855",False,False,False,False,False,none
Skippy,['Paramount Publix'],False,1930,,Australia,N/A,"Adventure, Family","Sonny and his kangaroo Skippy live in Waratah National Park in New South Wales. Matt Hammond, Sonny's father is the park ranger. Skippy saves the day in many adventures.",,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",25 min,1967–,6.4,803,False,False,False,False,False,none
Trader Horn,['Metro-Goldwyn-Mayer'],False,1930,N/A,USA,W.S. Van Dyke,"Action, Adventure, Drama, Romance","A veteran white trader in the darkest Africa of the 1870s mentors a younger companion on the mysteries of the Dark Continent. After meeting a missionary, they go in search of Nina, her kidnapped daughter, who was abducted by natives when she was young and now reigns over the savage tribe, regarded by them as a goddess. When the two men are captured and slated for horrible death by her people, she rescues them, and the trio flees the pursuing tribesmen through savage country.",MGM,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",122 min,1931,6.4,793,False,False,False,False,False,none
Grand Hotel,['Metro-Goldwyn-Mayer'],True,1931,N/A,USA,Edmund Goulding,"Drama, Romance","Berlin's plushest, most expensive hotel is the setting where in the words of Dr. Otternschlag ""People come, people go. Nothing ever happens."". The doctor is usually drunk so he missed the fact that Baron von Geigern is broke and trying to steal eccentric dancer Grusinskaya's pearls. He ends up stealing her heart instead. Powerful German businessman Preysing brow beats Kringelein, one of his company's lowly bookkeepers but it is the terminally ill Kringelein who holds all the cards in the end. Meanwhile, the Baron also steals the heart of Preysing's mistress, Flaemmchen, but she doesn't end up with either one of them in the end...",MGM Home Entertainment,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",112 min,1932,7.5,"15,417",False,False,False,False,False,none
Arrowsmith,['Samuel Goldwyn Productions'],False,1931,N/A,USA,John Ford,Drama,"Based on a Sinclair Lewis novel ""Martin Arrowsmith"". A medical researcher is sent to a plague outbreak, where he has to decide priorities for the use of a vaccine.",United Artists,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",108 min,1931,6.2,"1,136",False,False,False,False,False,none
Bad Girl,['Fox'],False,1931,N/A,USA,Frank Borzage,"Drama, Romance","A mug and a jane: Dorothy knows that every guy is going to make a pass at her; Eddie knows that every gal wastes her money on good times. He's saving to open a repair shop. When the two of them meet, they can't believe they get along. One evening he leaves her waiting in the rain; she finds his apartment and reads him the riot act. They end up spooning and napping until 4 AM. She's afraid of her brother, who's her guardian, so Eddie figures she should tell her brother that she's getting married the next morning. Dorothy tries out the story but knows Eddie won't show up. It's the first of a series of promises, fears, miscalculations, and hard knocks. Where will they end up?",N/A,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",90 min,1931,6.6,889,False,False,False,False,False,none
The Champ,['Metro-Goldwyn-Mayer'],False,1931,N/A,USA,Franco Zeffirelli,"Drama, Sport","Billy Flynn, a former boxing champion, is now horse trainer in Hialeah. He makes just enough money to raise his little boy T.J., over whom he got custody after his wife Annie left him seven years ago. T.J. worships The Champ who is now working on his come-back in order to give his boy a better future. But suddenly Annie shows up again ...",MGM Home Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",121 min,1979,6.8,"7,129",False,False,False,False,False,none
Five Star Final,['First National'],False,1931,N/A,USA,Mervyn LeRoy,"Crime, Drama","Hinchcliffe, the ruthless publisher of a sleazy New York tabloid, is concerned that the ethical journalistic policies of City Editor Randall have caused a drop in circulation. He pressures the newsman to run more sensational stories including resurrecting the twenty year old Vorhees Murder Case. Although the perpetrator's actions were ultimately judged justifiable, and she has been subsequently living an exemplary life in anonymity, Hunchcliffe insists Randall revisit the story. Randall assigns Isopod, an alcoholic degenerate, to dig up anything lurid that he find. The unprincipled reporter fraudulently insinuates himself into the Vorhees' home masquerading as a minister and gets the expose he sought. Yellow journalism triumphs, and a decent woman's name gets dragged through the mud again... with tragic consequences.",Vitaphone Corporation,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",89 min,1931,7.3,"1,383",False,False,False,False,False,none
One Hour with You,['Paramount Publix'],False,1931,N/A,USA,"George Cukor, Ernst Lubitsch","Comedy, Musical, Romance","Andre and Colette Bertier are happily married. When Colette introduces her husband to her flirtatious best friend, Mitzi, he does his best to resist her advances. But she is persistent, and very cute, and he succumbs. Mitzi's husband wants to divorce her, and has been having her tailed. Andre gets caught, and must confess to his wife. But Colette has had problems resisting the attentions of another man herself, and they forgive each other.",Paramount Pictures,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",80 min,1932,7.3,"1,794",False,False,False,False,False,none
Shanghai Express,['Paramount Publix'],False,1931,N/A,USA,Josef von Sternberg,"Adventure, Drama, Romance, Thriller","Many passengers on the Shanghai Express are more concerned that the notorious Shanghai Lil is on board than the fact that a civil war is going on that may make the trip take more than three days. The British Army doctor, Donald Harvey, knew Lil before she became a famous ""coaster."" A fellow passenger defines a coaster as ""a woman who lives by her wits along the China coast."" When Chinese guerillas stop the train, Dr. Harvey is selected as the hostage. Lil saves him, but can she make him believe that she really hasn't changed from the woman he loved five years before?",Paramount Pictures,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",82 min,1932,7.4,"6,383",False,False,False,False,False,none
The Smiling Lieutenant,['Paramount Publix'],False,1931,N/A,USA,Ernst Lubitsch,"Comedy, Romance, Musical","Lieutenant Niki of the Austrian royal guard has a new girlfriend, Franzi. He's crazy about her and is smiling at her while on duty in the street. King Adolf and his daughter Princess Anna from the neighboring kingdom of Flausenthurm drive by, and Anna intercepts a wink meant for Franzi. She falls for Niki, marries him (he has no choice in the matter), and whisks him off to Flausenthurm. Franzi follows and enjoys a brief affair with Niki before Anna finds out. Franzi, much more experienced in the ways of the world, gives Anna lessons on how to win the affections of her husband.",Paramount Pictures,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",93 min,1931,7.8,"2,908",False,False,False,False,False,none
Cavalcade,['Fox'],True,1932,N/A,USA,Frank Lloyd,"Drama, Romance, War","A cavalcade of English life from New Year's Eve 1899 until 1933 seen through the eyes of well-to-do Londoners Jane and Robert Marryot. Amongst events touching their family are the Boer War, the death of Queen Victoria, the sinking of the Titanic and the Great War.",20th Century Fox Film Corporation,Passed,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}]",112 min,1933,6.0,"3,839",False,False,False,False,False,none
42nd Street,['Warner Bros.'],False,1932,N/A,USA,Lloyd Bacon,"Comedy, Musical, Romance","Renowned Broadway producer/director Julian Marsh is hired to put together a new musical revue. It's being financed by Abner Dillon to provide a starring vehicle for his girlfriend, songstress Dorothy Brock. Marsh, who is quite ill, is a difficult task master working long hours and continually pushing the cast to do better. When Brock breaks her ankle one of the chorus girls, Peggy Sawyer, gets her big chance to be the star. She also finds romance along the way.",MGM Home Entertainment,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",89 min,1933,7.6,"9,459",False,False,False,False,False,none
A Farewell to Arms,['Paramount'],False,1932,N/A,USA,Frank Borzage,"Drama, Romance, War",A tale of the love between ambulance driver Lt. Henry and Nurse Catherine Barkley during World War I. The action takes place in Italy and the two fall in love during the war and will stop at nothing to be together. The film also analyses Lt. Henry's feelings on war and the purpose of fighting.,Gravitas,UNRATED,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",80 min,1932,6.5,"4,113",False,False,False,False,False,none
I Am a Fugitive from a Chain Gang,['Warner Bros.'],False,1932,N/A,USA,Mervyn LeRoy,"Crime, Drama, Film-Noir","Having returned from fighting in World War I, James Allen doesn't want to settle into a humdrum life and decides to set off to find his fortune. He travels the length and breadth of America, working as a skilled tradesman in the construction industry. When times get tough however, he finds himself living in a shelter where an acquaintance suggests they go out for a hamburger. What the friend really has in mind is to rob the diner and Allen soon finds himself working on a chain gang with a long jail sentence. Allen manages to escape however and heads to Chicago where over several years he slowly but surely works his way up the ladder to become one of the most respected construction engineers in the city. His past catches up with him and despite protestations from civic leaders and his many friends in Chicago, he finds himself again on the chain gang. Escaping for a second time, he accepts that to survive, he must lead a life of crime.",Vitaphone Corporation,Passed,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",92 min,1932,8.1,"10,391",False,True,False,False,False,none
Lady for a Day,['Columbia'],False,1932,N/A,USA,Frank Capra,"Comedy, Drama","Apple Annie is an indigent woman who has always written to her daughter in Spain that she is a member of New York's high society. With her daughter suddenly en route to America with her new fiancé and his father, a member of Spain's aristocracy, Annie must continue her pretense of wealth or the count will not give his blessing. She gets unexpected help from Dave the Dude, a well-known figure in underground circles who considers Annie his good luck charm, and who obtains for her a luxury apartment to entertain the visitors - but this uncharacteristic act of kindness from a man with a disreputable reputation arouses suspicions, leading to complications which further cause things to not always go quite as planned.",Columbia Pictures,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",96 min,1933,7.5,"3,383",False,False,False,False,False,none
Little Women,['RKO Radio'],False,1932,N/A,"USA, Canada",Gillian Armstrong,"Drama, Family, Romance","Louisa May Alcott's autobiographical account of her life with her three sisters in Concord, Massachusetts in the 1860s. With their father fighting in the American Civil War, sisters Jo, Meg, Amy and Beth are at home with their mother, a very outspoken women for her time. The story tells of how the sisters grow up, find love and find their place in the world.",N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Metacritic', 'Value': '87/100'}]",115 min,1994,7.3,"43,210",False,False,False,False,False,Louisa May Alcott
The Private Life of Henry VIII,['London Films'],False,1932,N/A,UK,Alexander Korda,"Biography, Comedy, Drama, History, Romance","This movie tells the story of King Henry VIII and the last five of his six wives. Set almost entirely within the royal castle, it begins just before the death of his second wife (Anne Boleyn) and ends just after his sixth wedding (to Catherine or Katherine Parr).",Criterion Collection,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",97 min,1933,7.2,"3,188",False,False,False,False,False,none
She Done Him Wrong,['Paramount'],False,1932,N/A,USA,Lowell Sherman,"Comedy, Drama, History, Musical, Romance","New York singer and nightclub owner Lady Lou has more men friends than you can imagine, unfortunately one of them is a vicious criminal who's escaped and is on the way to see ""his"" girl, not realizing she hasn't exactly been faithful in his absence. Help is at hand in the form of young Captain Cummings, a local temperance league leader, though.",MCA Universal Home Video,Passed,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",66 min,1933,6.5,"4,896",False,False,False,False,False,none
Smilin' Through,['Metro-Goldwyn-Mayer'],False,1932,N/A,USA,Sidney Franklin,"Drama, Romance","John has led a solitary life for thirty years since the death of Moonyeen Clare. But now Owens, a close friend, insists that he care for his niece, Kathleen, orphaned when her parents were lost at sea. Kathleen is five, but the years pass and now she is a young woman who is the image of Moonyeen. Willy wants Kathleen for his wife, but Sparks fly when she meets Kenneth Wayne one dark and stormy night. John is horrified for it was Wayne's father who shot Moonyeen dead on her wedding day and John has never found him or forgiven the family. When Ken goes off to war, John forbids any marriage and Ken agrees, while Kathleen does not. When Ken returns four years later when the war is over, he is crippled. He conceals his condition and makes plans to leave for America.",MGM,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",98 min,1932,7.0,818,False,False,False,False,False,none
State Fair,['Fox'],False,1932,N/A,USA,Walter Lang,"Comedy, Drama, Musical, Romance","Farm family Frake, with discontented daughter Margy, head for the Iowa State Fair. On the first day, both Margy and brother Wayne meet attractive new flames; so does father's prize hog, Blue Boy. As the fair proceeds, so do the romances; must lovers separate when the fair closes?",20th Century Fox,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",100 min,1945,7.1,"3,256",False,False,False,False,False,none
It Happened One Night,['Columbia'],True,1934,N/A,USA,Frank Capra,"Comedy, Romance","Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what (he thinks!) he wants .... a really juicy newspaper story.",Sony Pictures Home Entertainment,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",105 min,1934,8.1,"83,309",False,True,False,False,False,Screwball
The Barretts of Wimpole Street,['Metro-Goldwyn-Mayer'],False,1934,N/A,USA,Sidney Franklin,"Biography, Drama, Romance","In 1845 London, the Barrett family is ruled with an iron fist by its stern widowed patriarch, Edward Moulton-Barrett. His nine grown children are afraid of him more than they love him. One of his rules is that none of his children are allowed to marry, which does not sit well with youngest daughter Henrietta as she loves and wants to marry Captain Surtees Cook. Of the nine, the one exception is his daughter Elizabeth, who abides faithfully to her father's wishes. Elizabeth does not think too much about the non-marriage rule as she has an unknown chronic illness which has kept her bedridden. She feels her life will not be a long one. With her time, she writes poetry, which she shares by correspondence with another young poet, Robert Browning. Elizabeth's outlook on her life changes when she meets Mr. Browning for the first time, he who has fallen in love with her without even having met her. She, in return, falls in love with him after their meeting. With Mr. Browning's love and support, Elizabeth tries to get well and enjoy life, this all against the thoughts of her father, who physically and emotionally traps Elizabeth and by association all of his children, all in the name of protecting her and them in the name of God.",MGM,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",109 min,1934,7.0,"1,389",False,False,False,False,False,none
Cleopatra,['Paramount'],False,1934,N/A,"Switzerland, UK, USA",Joseph L. Mankiewicz,"Biography, Drama, History, Romance","In 48 B.C., Caesar pursues Pompey from Pharsalia to Egypt. Ptolemy, now supreme ruler after deposing his older sister, Cleopatra, attempts to gain favor with Caesar by presenting the conquerer with the head of Pompey, borne by his governors, Pothinos and Achillas. To win Caesar's support from her brother, Cleopatra hides herself in a rug, which Apollodorus, her servant, presents to Caesar. The Roman is immediately infatuated; banishing Ptolemy, he declares Cleopatra Egypt's sole ruler and takes her as his mistress. A son, Caesarion, is born of their union. Caesar, however, must return to Italy. Although he is briefly reunited with Cleopatra during a magnificent reception for the queen in Rome, Caesar is assassinated shortly thereafter, and Cleopatra returns to Egypt. When Mark Antony, Caesar's protégé, beholds Cleopatra aboard her elaborate barge at Tarsus some years later, he is smitten and becomes both her lover and military ally. Their liaison notwithstanding, Antony, to consolidate his position in Rome, marries Octavia, sister of the ambitious Octavian. The marriage satisfies no one. Cleopatra is infuriated, and Antony, tiring of his Roman wife, returns to Egypt. There he flaunts his liaison by marrying Cleopatra in a public ceremony. Sensing Antony's weakness, Octavian attacks and defeats his forces at Actium. Alarmed, Cleopatra withdraws her fleet and seeks refuge in her tomb.",20th Century Fox,G,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",192 min,1963,7.0,"26,110",False,False,False,False,False,none
Flirtation Walk,['First National'],False,1934,N/A,USA,Frank Borzage,"Musical, Romance","A Musical-romance with Dick Powell as a private stationed in Hawaii who gets involved with Ruby Keeler, the general's engaged daughter. In order to avoid a scandal, the pair break up, but meet again years later when Powell's at West Point producing the annual play that turns out to star Keeler.",Warner Brothers,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",97 min,1934,5.8,442,False,False,False,False,False,none
