Title,producers,winner,year,BoxOffice,Country,Director,Genre,Plot,Production,Rated,Ratings,Runtime,Year,imdbRating,imdbVotes,BAFTA,NBRA,GOLDENGLOBE,SATELLITE,DGA,tag
The Good Earth,['Metro-Goldwyn-Mayer'],False,1937,N/A,USA,"Sidney Franklin, Victor Fleming, Gustav Machatý, Sam Wood","Drama, Romance",The story of a farmer in China: a story of humility and bravery. His father gives Wang Lung a freed slave as wife. By diligence and frugality the two manage to enlarge their property. But then a famine forces them to leave their land and live in the town. However it turns out to be a blessing in disguise for them...,WARNER BROTHERS PICTURES,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",138 min,1937,7.7,"4,046",False,False,False,False,False,none
In Old Chicago,['20th Century-Fox'],False,1937,N/A,USA,Henry King,"Action, Drama, Musical, Romance","Story of the great fire of 1871. Fictional story of two sons of Mrs. O'Leary (the owner of the cow which started the fire), one a rogue (Power) the other a lawyer (Ameche). One of the most expensive films of its time ($1.8 million).",20th Century Fox Film Corporation,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",95 min,1938,6.9,"1,858",False,False,False,False,False,none
Lost Horizon,['Columbia'],False,1937,N/A,USA,Frank Capra,"Adventure, Drama, Fantasy, Mystery","British diplomat Robert Conway and a small group of civilians crash land in the Himalayas, and are rescued by the people of the mysterious, Eden-like valley of Shangri-la. Protected by the mountains from the world outside, where the clouds of World War II are gathering, Shangri-la provides a seductive escape for the world-weary Conway.",Sony Pictures Home Entertainment,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",132 min,1937,7.8,"10,866",False,False,False,False,False,Shangri-La
One Hundred Men and a Girl,['Universal'],False,1937,N/A,USA,Henry Koster,"Comedy, Music","The daughter of a struggling musician forms a symphony orchestra made up of his unemployed friends and through persistence, charm and a few misunderstandings, is able to get Leopold Stokowski to lead them in a concert that leads to a radio contract.",Universal,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",84 min,1937,6.9,762,False,False,False,False,False,none
Stage Door,['RKO Radio'],False,1937,N/A,USA,Gregory La Cava,"Comedy, Drama","A chronicle of the ambitions, dreams, and disappointments of aspiring actresses who all live in the same boarding house.",Warner Home Video,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",92 min,1937,7.8,"6,864",False,False,False,False,False,show business
A Star Is Born,['Selznick International Pictures'],False,1937,N/A,USA,Bradley Cooper,"Drama, Music, Romance","Jackson Maine (Cooper), a country music star on the brink of decline, discovers a talented unknown named Ally (Germanotta). As the two begin a passionate love affair, Jackson coaxes Ally into the spotlight, catapulting her to stardom. But as Ally's career quickly eclipses his own, Jack finds it increasingly hard to handle his fading glory.",Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",136 min,2018,7.9,"186,913",False,False,False,False,False,none
A Star Is Born,['Selznick International Pictures'],False,1937,N/A,USA,Bradley Cooper,"Drama, Music, Romance","Jackson Maine (Cooper), a country music star on the brink of decline, discovers a talented unknown named Ally (Germanotta). As the two begin a passionate love affair, Jackson coaxes Ally into the spotlight, catapulting her to stardom. But as Ally's career quickly eclipses his own, Jack finds it increasingly hard to handle his fading glory.",Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",136 min,2018,7.9,"186,913",False,False,False,False,False,none
You Can't Take It with You,['Columbia'],True,1938,N/A,USA,Frank Capra,"Comedy, Drama, Romance","The stenographer Alice Sycamore is in love with her boss Tony Kirby, who is the vice-president of the powerful company owned by his greedy father Anthony P. Kirby. Kirby Sr. is dealing a monopoly in the trade of weapons, and needs to buy one last house in a twelve block area owned by Alice's grandparent Martin Vanderhof. However, Martin is the patriarch of an anarchic and eccentric family where the members do not care for money but for having fun and making friends. When Tony proposes Alice, she states that it would be mandatory to introduce her simple and lunatic family to the snobbish Kirbys, and Tone decides to visit Alice with his parents one day before the scheduled. There is an inevitable clash of classes and lifestyles, the Kirbys spurn the Sycamores and Alice breaks with Tony, changing the lives of the Kirby family.",Columbia Pictures,Passed,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",126 min,1938,8.0,"20,920",False,False,False,False,False,none
The Adventures of Robin Hood,['Warner Bros.-First National'],False,1938,N/A,USA,"Michael Curtiz, William Keighley","Action, Adventure, Romance","Sir Robin of Locksley, defender of downtrodden Saxons, runs afoul of Norman authority and is forced to turn outlaw. With his band of Merry Men, he robs from the rich, gives to the poor and still has time to woo the lovely Maid Marian, and foil the cruel Sir Guy of Gisbourne, and keep the nefarious Prince John off the throne.",Warner Bros.,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '97/100'}]",102 min,1938,8.0,"43,494",False,False,False,False,False,none
Alexander's Ragtime Band,['20th Century-Fox'],False,1938,N/A,USA,Henry King,"Drama, Musical, Romance","Roger Grant, a classical violinist, disappoints his family and teacher when he organizes a jazz band, but he and the band become successful. Roger falls in love with his singer Stella, but his reluctance to lose her leads him to thwart her efforts to become a solo star. When the World War separates them in 1917, Stella marries Roger's best friend Charlie. Roger comes home after the war and an important concert at Carnegie Hall brings the corners of the romantic triangle together.",20th Century Fox Film Corporation,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",106 min,1938,7.0,"1,508",False,False,False,False,False,none
